genome,accession,all_accessions
SAMN02470898,['AFOJ01000007'],"['NZ_AFOJ00000000.1', 'NZ_AFOJ01000012.1', 'NZ_AFOJ01000011.1', 'NZ_AFOJ01000010.1', 'NZ_AFOJ01000009.1', 'NZ_AFOJ01000008.1', 'NZ_AFOJ01000007.1', 'NZ_AFOJ01000006.1', 'NZ_AFOJ01000005.1', 'NZ_AFOJ01000004.1', 'NZ_AFOJ01000003.1', 'NZ_AFOJ01000002.1', 'NZ_AFOJ01000001.1', 'AFOJ00000000.1', 'AFOJ01000001.1', 'AFOJ01000002.1', 'AFOJ01000003.1', 'AFOJ01000004.1', 'AFOJ01000005.1', 'AFOJ01000006.1']"
SAMN02441532,['AUFB01000070'],"['NZ_AUFB00000000.1', 'NZ_KE384517.1', 'NZ_AUFB01000099.1', 'NZ_AUFB01000098.1', 'NZ_AUFB01000097.1', 'NZ_AUFB01000096.1', 'NZ_AUFB01000095.1', 'NZ_AUFB01000094.1', 'NZ_AUFB01000093.1', 'NZ_AUFB01000092.1', 'NZ_AUFB01000091.1', 'NZ_AUFB01000090.1', 'NZ_AUFB01000089.1', 'NZ_AUFB01000088.1', 'NZ_AUFB01000087.1', 'NZ_AUFB01000086.1', 'NZ_AUFB01000085.1', 'NZ_AUFB01000084.1', 'NZ_AUFB01000083.1', 'NZ_AUFB01000082.1']"
SAMN02436863,['AGHW01000012'],"['NZ_AGHW00000000.1', 'NZ_AGHW01000070.1', 'NZ_AGHW01000069.1', 'NZ_AGHW01000068.1', 'NZ_AGHW01000067.1', 'NZ_AGHW01000066.1', 'NZ_AGHW01000065.1', 'NZ_AGHW01000064.1', 'NZ_AGHW01000063.1', 'NZ_AGHW01000062.1', 'NZ_AGHW01000061.1', 'NZ_AGHW01000060.1', 'NZ_AGHW01000059.1', 'NZ_AGHW01000058.1', 'NZ_AGHW01000057.1', 'NZ_AGHW01000056.1', 'NZ_AGHW01000055.1', 'NZ_AGHW01000054.1', 'NZ_AGHW01000053.1', 'NZ_AGHW01000052.1']"
SAMN01939134,"['KE136325', 'KE136309']","['NZ_APJK00000000.1', 'NZ_KE136317.1', 'NZ_KE136309.1', 'NZ_KE136334.1', 'NZ_KE136333.1', 'NZ_KE136332.1', 'NZ_KE136331.1', 'NZ_KE136330.1', 'NZ_KE136329.1', 'NZ_KE136328.1', 'NZ_KE136327.1', 'NZ_KE136326.1', 'NZ_KE136325.1', 'NZ_KE136324.1', 'NZ_KE136323.1', 'NZ_KE136322.1', 'NZ_KE136321.1', 'NZ_KE136320.1', 'NZ_KE136319.1', 'NZ_KE136318.1']"
SAMN02471115,"['CM001398', 'CM001398']","['NZ_CM001399.1', 'NZ_CM001398.1', 'NZ_AFVZ00000000.1', 'CM001398.1', 'CM001399.1', 'AFVZ00000000.1', 'AFVZ01000001.1', 'AFVZ01000002.1']"
SAMN02584913,"['KI913112', 'KI913112']","['NZ_ASAA00000000.1', 'NZ_KI913113.1', 'NZ_KI913112.1', 'NZ_ASAA01000016.1', 'NZ_ASAA01000015.1', 'ASAA00000000.1', 'KI913112.1', 'KI913113.1', 'ASAA01000001.1', 'ASAA01000002.1', 'ASAA01000003.1', 'ASAA01000004.1', 'ASAA01000005.1', 'ASAA01000006.1', 'ASAA01000007.1', 'ASAA01000008.1', 'ASAA01000009.1', 'ASAA01000010.1', 'ASAA01000011.1', 'ASAA01000012.1']"
SAMN05786337,['CP017304'],"['NZ_CP017304.1', 'NZ_CP017303.1', 'NZ_CP017302.1', 'NZ_CP017301.1', 'NZ_CP017300.1', 'NZ_CP017299.1', 'CP017304.1', 'CP017303.1', 'CP017302.1', 'CP017301.1', 'CP017300.1', 'CP017299.1']"
SAMN03105962,"['JRVI01000176', 'JRVI01000219']","['NZ_JRVI00000000.1', 'NZ_JRVI01000299.1', 'NZ_JRVI01000298.1', 'NZ_JRVI01000297.1', 'NZ_JRVI01000296.1', 'NZ_JRVI01000295.1', 'NZ_JRVI01000294.1', 'NZ_JRVI01000293.1', 'NZ_JRVI01000292.1', 'NZ_JRVI01000291.1', 'NZ_JRVI01000290.1', 'NZ_JRVI01000289.1', 'NZ_JRVI01000288.1', 'NZ_JRVI01000287.1', 'NZ_JRVI01000286.1', 'NZ_JRVI01000285.1', 'NZ_JRVI01000284.1', 'NZ_JRVI01000283.1', 'NZ_JRVI01000282.1', 'NZ_JRVI01000281.1']"
SAMN03265073,['MYYL01000002'],"['MYYL00000000.1', 'MYYL01000001.1', 'MYYL01000002.1', 'MYYL01000003.1', 'MYYL01000004.1', 'MYYL01000005.1', 'MYYL01000006.1', 'MYYL01000007.1', 'MYYL01000008.1', 'MYYL01000009.1', 'MYYL01000010.1', 'MYYL01000011.1', 'MYYL01000012.1', 'MYYL01000013.1', 'MYYL01000014.1', 'MYYL01000015.1', 'MYYL01000016.1', 'MYYL01000017.1', 'MYYL01000018.1', 'MYYL01000019.1']"
SAMN02471403,"['AFXI01000001', 'AFXI01000001']","['NZ_AFXI00000000.1', 'NZ_AFXI01000002.1', 'NZ_AFXI01000001.1', 'AFXI00000000.1', 'AFXI01000001.1', 'AFXI01000002.1']"
SAMN02435824,['JH966801'],"['NZ_AJRP00000000.1', 'NZ_JH966829.1', 'NZ_JH966828.1', 'NZ_JH966827.1', 'NZ_JH966826.1', 'NZ_JH966825.1', 'NZ_JH966824.1', 'NZ_JH966823.1', 'NZ_JH966822.1', 'NZ_JH966821.1', 'NZ_JH966820.1', 'NZ_JH966819.1', 'NZ_JH966818.1', 'NZ_JH966817.1', 'NZ_JH966816.1', 'NZ_JH966815.1', 'NZ_JH966814.1', 'NZ_JH966813.1', 'NZ_JH966812.1', 'NZ_JH966811.1']"
