genome,accession,all_accessions
SAMN02721577,['JQEB01000035'],"['NZ_JQEB00000000.1', 'NZ_JQEB01000052.1', 'NZ_JQEB01000051.1', 'NZ_JQEB01000050.1', 'NZ_JQEB01000049.1', 'NZ_JQEB01000048.1', 'NZ_JQEB01000047.1', 'NZ_JQEB01000046.1', 'NZ_JQEB01000044.1', 'NZ_JQEB01000043.1', 'NZ_JQEB01000042.1', 'NZ_JQEB01000041.1', 'NZ_JQEB01000040.1', 'NZ_JQEB01000038.1', 'NZ_JQEB01000037.1', 'NZ_JQEB01000036.1', 'NZ_JQEB01000035.1', 'NZ_JQEB01000034.1', 'NZ_JQEB01000033.1', 'NZ_JQEB01000032.1']"
SAMN04285687,"['LUCZ01000005', 'LUCZ01000005']","['NZ_CP059702.1', 'CP059702.1']"
SAMN02436294,['ABDU01000081'],"['NZ_ABDU01000084.2', 'NZ_ABDU01000083.2', 'NZ_ABDU01000082.2', 'NZ_ABDU01000081.2', 'NZ_ABDU01000080.2', 'NZ_ABDU01000079.2', 'NZ_ABDU01000078.2', 'NZ_ABDU01000077.2', 'NZ_ABDU01000076.2', 'NZ_ABDU01000075.2', 'NZ_ABDU01000074.2', 'NZ_ABDU01000073.2', 'NZ_ABDU01000072.2', 'NZ_ABDU01000071.2', 'NZ_ABDU01000070.2', 'NZ_ABDU01000069.2', 'NZ_ABDU01000068.2', 'NZ_ABDU01000067.2', 'NZ_ABDU01000066.2', 'NZ_ABDU01000065.2']"
SAMN00000002,"['DS499580', 'DS499580', 'DS499580', 'DS499580', 'DS499580', 'DS499579', 'DS499580', 'DS499581']","['NZ_DS499581.1', 'NZ_DS499580.1', 'NZ_DS499579.1', 'NZ_DS499578.1', 'NZ_DS499577.1', 'NZ_DS499576.1', 'NZ_DS499575.1', 'NZ_DS499574.1', 'NZ_DS499573.1', 'NZ_DS499572.1', 'NZ_DS499571.1', 'NZ_DS499570.1', 'NZ_ABFK00000000.2', 'DS499570.1', 'DS499571.1', 'DS499572.1', 'DS499573.1', 'DS499574.1', 'DS499575.1', 'DS499576.1']"
SAMN00000003,"['DS544185', 'DS544185']","['NZ_DS544194.1', 'NZ_DS544193.1', 'NZ_DS544192.1', 'NZ_DS544191.1', 'NZ_DS544190.1', 'NZ_DS544189.1', 'NZ_DS544188.1', 'NZ_DS544187.1', 'NZ_DS544186.1', 'NZ_DS544185.1', 'NZ_DS544184.1', 'NZ_DS544183.1', 'NZ_DS544182.1', 'NZ_DS544181.1', 'NZ_DS544180.1', 'NZ_DS544179.1', 'NZ_DS544178.1', 'NZ_DS544177.1', 'NZ_DS544176.1', 'NZ_DS544175.1']"
SAMN02299419,['DS499569'],"['NZ_DS499569.1', 'NZ_DS499568.1', 'NZ_DS499567.1', 'NZ_DS499566.1', 'NZ_DS499565.1', 'NZ_DS499564.1', 'NZ_DS499563.1', 'NZ_DS499562.1', 'NZ_DS499561.1', 'NZ_DS499560.1', 'NZ_DS499559.1', 'NZ_DS499558.1', 'NZ_DS499557.1', 'NZ_DS499556.1', 'NZ_DS499555.1', 'NZ_DS499554.1', 'NZ_DS499553.1', 'NZ_DS499552.1', 'NZ_ABEZ00000000.2', 'DS499552.1']"
SAMN00000007,['DS499658'],"['NZ_DS499660.1', 'NZ_DS499659.1', 'NZ_DS499658.1', 'NZ_DS499657.1', 'NZ_DS499656.1', 'NZ_DS499655.1', 'NZ_DS499654.1', 'NZ_DS499653.1', 'NZ_DS499652.1', 'NZ_DS499651.1', 'NZ_DS499650.1', 'NZ_DS499649.1', 'NZ_ABFX00000000.2', 'DS499649.1', 'DS499650.1', 'DS499651.1', 'DS499652.1', 'DS499653.1', 'DS499654.1', 'DS499655.1']"
SAMD00025833,['BBUK01000138'],"['NZ_BBUK00000000.1', 'NZ_BBUK01000141.1', 'NZ_BBUK01000140.1', 'NZ_BBUK01000139.1', 'NZ_BBUK01000136.1', 'NZ_BBUK01000134.1', 'NZ_BBUK01000133.1', 'NZ_BBUK01000132.1', 'NZ_BBUK01000131.1', 'NZ_BBUK01000130.1', 'NZ_BBUK01000129.1', 'NZ_BBUK01000128.1', 'NZ_BBUK01000127.1', 'NZ_BBUK01000126.1', 'NZ_BBUK01000125.1', 'NZ_BBUK01000124.1', 'NZ_BBUK01000123.1', 'NZ_BBUK01000121.1', 'NZ_BBUK01000120.1', 'NZ_BBUK01000119.1']"
SAMEA1968044,"['FJAS01000001', 'FJAS01000001']","['NZ_FJAS00000000.1', 'NZ_FJAS01000024.1', 'NZ_FJAS01000023.1', 'NZ_FJAS01000021.1', 'NZ_FJAS01000020.1', 'NZ_FJAS01000019.1', 'NZ_FJAS01000018.1', 'NZ_FJAS01000017.1', 'NZ_FJAS01000016.1', 'NZ_FJAS01000015.1', 'NZ_FJAS01000014.1', 'NZ_FJAS01000013.1', 'NZ_FJAS01000012.1', 'NZ_FJAS01000011.1', 'NZ_FJAS01000010.1', 'NZ_FJAS01000009.1', 'NZ_FJAS01000008.1', 'NZ_FJAS01000007.1', 'NZ_FJAS01000006.1', 'NZ_FJAS01000005.1']"
SAMEA2077490,"['FJGP01000015', 'FJGP01000015']","['NZ_FJGP00000000.1', 'NZ_FJGP01000034.1', 'NZ_FJGP01000032.1', 'NZ_FJGP01000031.1', 'NZ_FJGP01000030.1', 'NZ_FJGP01000029.1', 'NZ_FJGP01000028.1', 'NZ_FJGP01000027.1', 'NZ_FJGP01000026.1', 'NZ_FJGP01000025.1', 'NZ_FJGP01000024.1', 'NZ_FJGP01000023.1', 'NZ_FJGP01000022.1', 'NZ_FJGP01000021.1', 'NZ_FJGP01000020.1', 'NZ_FJGP01000019.1', 'NZ_FJGP01000018.1', 'NZ_FJGP01000017.1', 'NZ_FJGP01000016.1', 'NZ_FJGP01000015.1']"
SAMN03486847,['LBAK01000021'],"['NZ_LBAK00000000.1', 'NZ_LBAK01000029.1', 'NZ_LBAK01000028.1', 'NZ_LBAK01000027.1', 'NZ_LBAK01000026.1', 'NZ_LBAK01000025.1', 'NZ_LBAK01000024.1', 'NZ_LBAK01000023.1', 'NZ_LBAK01000022.1', 'NZ_LBAK01000021.1', 'NZ_LBAK01000020.1', 'NZ_LBAK01000019.1', 'NZ_LBAK01000018.1', 'NZ_LBAK01000017.1', 'NZ_LBAK01000016.1', 'NZ_LBAK01000015.1', 'NZ_LBAK01000014.1', 'NZ_LBAK01000013.1', 'NZ_LBAK01000012.1', 'NZ_LBAK01000011.1']"
SAMEA4029005,['FLQZ01000019'],"['NZ_FLQZ00000000.1', 'NZ_FLQZ01000196.1', 'NZ_FLQZ01000195.1', 'NZ_FLQZ01000194.1', 'NZ_FLQZ01000193.1', 'NZ_FLQZ01000192.1', 'NZ_FLQZ01000191.1', 'NZ_FLQZ01000190.1', 'NZ_FLQZ01000189.1', 'NZ_FLQZ01000188.1', 'NZ_FLQZ01000187.1', 'NZ_FLQZ01000186.1', 'NZ_FLQZ01000185.1', 'NZ_FLQZ01000184.1', 'NZ_FLQZ01000183.1', 'NZ_FLQZ01000182.1', 'NZ_FLQZ01000181.1', 'NZ_FLQZ01000180.1', 'NZ_FLQZ01000179.1', 'NZ_FLQZ01000178.1']"
SAMN02796569,"['JNCC03000023', 'JNCC03000023']","['NZ_JNCC00000000.3', 'NZ_JNCC03000048.1', 'NZ_JNCC03000047.1', 'NZ_JNCC03000046.1', 'NZ_JNCC03000045.1', 'NZ_JNCC03000044.1', 'NZ_JNCC03000043.1', 'NZ_JNCC03000042.1', 'NZ_JNCC03000041.1', 'NZ_JNCC03000040.1', 'NZ_JNCC03000039.1', 'NZ_JNCC03000038.1', 'NZ_JNCC03000037.1', 'NZ_JNCC03000036.1', 'NZ_JNCC03000035.1', 'NZ_JNCC03000034.1', 'NZ_JNCC03000033.1', 'NZ_JNCC03000032.1', 'NZ_JNCC03000031.1', 'NZ_JNCC03000030.1']"
SAMN04010513,['LIWD01000090'],"['NZ_LIWD00000000.1', 'NZ_LIWD01000253.1', 'NZ_LIWD01000252.1', 'NZ_LIWD01000251.1', 'NZ_LIWD01000250.1', 'NZ_LIWD01000249.1', 'NZ_LIWD01000248.1', 'NZ_LIWD01000247.1', 'NZ_LIWD01000246.1', 'NZ_LIWD01000245.1', 'NZ_LIWD01000244.1', 'NZ_LIWD01000243.1', 'NZ_LIWD01000242.1', 'NZ_LIWD01000241.1', 'NZ_LIWD01000240.1', 'NZ_LIWD01000239.1', 'NZ_LIWD01000238.1', 'NZ_LIWD01000237.1', 'NZ_LIWD01000236.1', 'NZ_LIWD01000235.1']"
SAMN04091128,"['LKPE01000012', 'LKPE01000065']","['NZ_LKPE00000000.1', 'NZ_LKPE01000083.1', 'NZ_LKPE01000082.1', 'NZ_LKPE01000081.1', 'NZ_LKPE01000080.1', 'NZ_LKPE01000079.1', 'NZ_LKPE01000078.1', 'NZ_LKPE01000077.1', 'NZ_LKPE01000076.1', 'NZ_LKPE01000075.1', 'NZ_LKPE01000074.1', 'NZ_LKPE01000073.1', 'NZ_LKPE01000072.1', 'NZ_LKPE01000071.1', 'NZ_LKPE01000070.1', 'NZ_LKPE01000069.1', 'NZ_LKPE01000068.1', 'NZ_LKPE01000067.1', 'NZ_LKPE01000066.1', 'NZ_LKPE01000065.1']"
SAMN00000004,"['DS499664', 'DS499662', 'DS499677', 'DS499662', 'DS499677']","['NZ_DS499677.1', 'NZ_DS499676.1', 'NZ_DS499675.1', 'NZ_DS499674.1', 'NZ_DS499673.1', 'NZ_DS499672.1', 'NZ_DS499671.1', 'NZ_DS499670.1', 'NZ_DS499669.1', 'NZ_DS499668.1', 'NZ_DS499667.1', 'NZ_DS499666.1', 'NZ_DS499665.1', 'NZ_DS499664.1', 'NZ_DS499663.1', 'NZ_DS499662.1', 'NZ_DS499661.1', 'NZ_ABFZ00000000.2', 'DS499661.1', 'DS499662.1']"
SAMN03793182,"['LFOD01000045', 'LFOD01000045']","['NZ_LFOD00000000.1', 'NZ_LFOD01000131.1', 'NZ_LFOD01000130.1', 'NZ_LFOD01000129.1', 'NZ_LFOD01000128.1', 'NZ_LFOD01000127.1', 'NZ_LFOD01000126.1', 'NZ_LFOD01000125.1', 'NZ_LFOD01000124.1', 'NZ_LFOD01000123.1', 'NZ_LFOD01000122.1', 'NZ_LFOD01000121.1', 'NZ_LFOD01000120.1', 'NZ_LFOD01000119.1', 'NZ_LFOD01000118.1', 'NZ_LFOD01000117.1', 'NZ_LFOD01000116.1', 'NZ_LFOD01000115.1', 'NZ_LFOD01000114.1', 'NZ_LFOD01000113.1']"
SAMN04634254,['LZKA01000083'],"['NZ_LZKA00000000.1', 'NZ_LZKA01000096.1', 'NZ_LZKA01000095.1', 'NZ_LZKA01000094.1', 'NZ_LZKA01000093.1', 'NZ_LZKA01000092.1', 'NZ_LZKA01000091.1', 'NZ_LZKA01000090.1', 'NZ_LZKA01000089.1', 'NZ_LZKA01000088.1', 'NZ_LZKA01000087.1', 'NZ_LZKA01000086.1', 'NZ_LZKA01000085.1', 'NZ_LZKA01000084.1', 'NZ_LZKA01000083.1', 'NZ_LZKA01000082.1', 'NZ_LZKA01000081.1', 'NZ_LZKA01000080.1', 'NZ_LZKA01000079.1', 'NZ_LZKA01000078.1']"
SAMN04634264,['LZHX01000025'],"['NZ_LZHX00000000.1', 'NZ_LZHX01000103.1', 'NZ_LZHX01000102.1', 'NZ_LZHX01000101.1', 'NZ_LZHX01000100.1', 'NZ_LZHX01000099.1', 'NZ_LZHX01000098.1', 'NZ_LZHX01000097.1', 'NZ_LZHX01000096.1', 'NZ_LZHX01000095.1', 'NZ_LZHX01000094.1', 'NZ_LZHX01000093.1', 'NZ_LZHX01000092.1', 'NZ_LZHX01000091.1', 'NZ_LZHX01000090.1', 'NZ_LZHX01000089.1', 'NZ_LZHX01000088.1', 'NZ_LZHX01000087.1', 'NZ_LZHX01000086.1', 'NZ_LZHX01000085.1']"
SAMN02436295,['ABDV01000002'],"['NZ_ABDV00000000.1', 'NZ_ABDV01000098.1', 'NZ_ABDV01000097.1', 'NZ_ABDV01000096.1', 'NZ_ABDV01000095.1', 'NZ_ABDV01000094.1', 'NZ_ABDV01000093.1', 'NZ_ABDV01000092.1', 'NZ_ABDV01000091.1', 'NZ_ABDV01000090.1', 'NZ_ABDV01000089.1', 'NZ_ABDV01000088.1', 'NZ_ABDV01000087.1', 'NZ_ABDV01000086.1', 'NZ_ABDV01000085.1', 'NZ_ABDV01000084.1', 'NZ_ABDV01000083.1', 'NZ_ABDV01000082.1', 'NZ_ABDV01000081.1', 'NZ_ABDV01000080.1']"
SAMN05449652,"['MCRR01000023', 'MCRR01000023']","['NZ_MCRR00000000.1', 'NZ_MCRR01000059.1', 'NZ_MCRR01000058.1', 'NZ_MCRR01000057.1', 'NZ_MCRR01000056.1', 'NZ_MCRR01000055.1', 'NZ_MCRR01000054.1', 'NZ_MCRR01000053.1', 'NZ_MCRR01000052.1', 'NZ_MCRR01000051.1', 'NZ_MCRR01000050.1', 'NZ_MCRR01000049.1', 'NZ_MCRR01000048.1', 'NZ_MCRR01000047.1', 'NZ_MCRR01000046.1', 'NZ_MCRR01000045.1', 'NZ_MCRR01000044.1', 'NZ_MCRR01000043.1', 'NZ_MCRR01000042.1', 'NZ_MCRR01000041.1']"
SAMD00060927,['AP010803'],"['NC_014013.1', 'NC_014009.1', 'NC_014007.1', 'NC_014006.1', 'NC_014005.1', 'AP010807.1', 'AP010806.1', 'AP010805.1', 'AP010804.1', 'AP010803.1']"
SAMN03349320,['JZLN01000090'],"['NZ_JZLN00000000.1', 'NZ_JZLN01000126.1', 'NZ_JZLN01000125.1', 'NZ_JZLN01000124.1', 'NZ_JZLN01000123.1', 'NZ_JZLN01000122.1', 'NZ_JZLN01000121.1', 'NZ_JZLN01000120.1', 'NZ_JZLN01000119.1', 'NZ_JZLN01000118.1', 'NZ_JZLN01000117.1', 'NZ_JZLN01000116.1', 'NZ_JZLN01000115.1', 'NZ_JZLN01000114.1', 'NZ_JZLN01000113.1', 'NZ_JZLN01000112.1', 'NZ_JZLN01000111.1', 'NZ_JZLN01000110.1', 'NZ_JZLN01000109.1', 'NZ_JZLN01000108.1']"
SAMN03349327,"['JZLU01000010', 'JZLU01000010']","['NZ_JZLU00000000.1', 'NZ_JZLU01000126.1', 'NZ_JZLU01000125.1', 'NZ_JZLU01000124.1', 'NZ_JZLU01000123.1', 'NZ_JZLU01000122.1', 'NZ_JZLU01000121.1', 'NZ_JZLU01000120.1', 'NZ_JZLU01000119.1', 'NZ_JZLU01000118.1', 'NZ_JZLU01000117.1', 'NZ_JZLU01000116.1', 'NZ_JZLU01000115.1', 'NZ_JZLU01000114.1', 'NZ_JZLU01000113.1', 'NZ_JZLU01000112.1', 'NZ_JZLU01000111.1', 'NZ_JZLU01000110.1', 'NZ_JZLU01000109.1', 'NZ_JZLU01000108.1']"
SAMN03349329,"['JZLW01000014', 'JZLW01000014']","['NZ_JZLW00000000.1', 'NZ_JZLW01000173.1', 'NZ_JZLW01000172.1', 'NZ_JZLW01000171.1', 'NZ_JZLW01000170.1', 'NZ_JZLW01000169.1', 'NZ_JZLW01000168.1', 'NZ_JZLW01000167.1', 'NZ_JZLW01000166.1', 'NZ_JZLW01000165.1', 'NZ_JZLW01000164.1', 'NZ_JZLW01000163.1', 'NZ_JZLW01000162.1', 'NZ_JZLW01000161.1', 'NZ_JZLW01000160.1', 'NZ_JZLW01000159.1', 'NZ_JZLW01000158.1', 'NZ_JZLW01000157.1', 'NZ_JZLW01000156.1', 'NZ_JZLW01000155.1']"
SAMN03349330,"['JZLX01000012', 'JZLX01000012']","['NZ_JZLX00000000.1', 'NZ_JZLX01000116.1', 'NZ_JZLX01000115.1', 'NZ_JZLX01000114.1', 'NZ_JZLX01000113.1', 'NZ_JZLX01000112.1', 'NZ_JZLX01000111.1', 'NZ_JZLX01000110.1', 'NZ_JZLX01000109.1', 'NZ_JZLX01000108.1', 'NZ_JZLX01000107.1', 'NZ_JZLX01000106.1', 'NZ_JZLX01000105.1', 'NZ_JZLX01000104.1', 'NZ_JZLX01000103.1', 'NZ_JZLX01000102.1', 'NZ_JZLX01000101.1', 'NZ_JZLX01000100.1', 'NZ_JZLX01000099.1', 'NZ_JZLX01000098.1']"
SAMN03349333,['JZMA01000004'],"['NZ_JZMA00000000.1', 'NZ_JZMA01000101.1', 'NZ_JZMA01000100.1', 'NZ_JZMA01000099.1', 'NZ_JZMA01000098.1', 'NZ_JZMA01000097.1', 'NZ_JZMA01000096.1', 'NZ_JZMA01000095.1', 'NZ_JZMA01000094.1', 'NZ_JZMA01000093.1', 'NZ_JZMA01000092.1', 'NZ_JZMA01000091.1', 'NZ_JZMA01000090.1', 'NZ_JZMA01000089.1', 'NZ_JZMA01000088.1', 'NZ_JZMA01000087.1', 'NZ_JZMA01000086.1', 'NZ_JZMA01000085.1', 'NZ_JZMA01000084.1', 'NZ_JZMA01000083.1']"
SAMN03349339,['JZRQ01000043'],"['NZ_JZRQ00000000.1', 'NZ_JZRQ01000148.1', 'NZ_JZRQ01000147.1', 'NZ_JZRQ01000146.1', 'NZ_JZRQ01000145.1', 'NZ_JZRQ01000144.1', 'NZ_JZRQ01000143.1', 'NZ_JZRQ01000142.1', 'NZ_JZRQ01000141.1', 'NZ_JZRQ01000140.1', 'NZ_JZRQ01000138.1', 'NZ_JZRQ01000137.1', 'NZ_JZRQ01000136.1', 'NZ_JZRQ01000135.1', 'NZ_JZRQ01000132.1', 'NZ_JZRQ01000131.1', 'NZ_JZRQ01000130.1', 'NZ_JZRQ01000129.1', 'NZ_JZRQ01000127.1', 'NZ_JZRQ01000126.1']"
SAMN03349344,['JZRV01000033'],"['NZ_JZRV00000000.1', 'NZ_JZRV01000110.1', 'NZ_JZRV01000109.1', 'NZ_JZRV01000108.1', 'NZ_JZRV01000107.1', 'NZ_JZRV01000106.1', 'NZ_JZRV01000105.1', 'NZ_JZRV01000104.1', 'NZ_JZRV01000103.1', 'NZ_JZRV01000102.1', 'NZ_JZRV01000101.1', 'NZ_JZRV01000100.1', 'NZ_JZRV01000099.1', 'NZ_JZRV01000098.1', 'NZ_JZRV01000097.1', 'NZ_JZRV01000096.1', 'NZ_JZRV01000095.1', 'NZ_JZRV01000094.1', 'NZ_JZRV01000093.1', 'NZ_JZRV01000092.1']"
SAMN02463691,"['KQ236098', 'KQ236098', 'KQ236093', 'KQ236092', 'KQ236097', 'KQ236100']","['NZ_ABZY00000000.2', 'NZ_KQ236101.1', 'NZ_KQ236100.1', 'NZ_KQ236099.1', 'NZ_KQ236098.1', 'NZ_KQ236097.1', 'NZ_KQ236096.1', 'NZ_KQ236095.1', 'NZ_KQ236094.1', 'NZ_KQ236093.1', 'NZ_KQ236092.1', 'KQ236092.1', 'KQ236093.1', 'KQ236094.1', 'KQ236095.1', 'KQ236096.1', 'KQ236097.1', 'KQ236098.1', 'KQ236099.1', 'KQ236100.1']"
SAMN00103198,"['KQ236956', 'KQ236956']","['NZ_ACRR00000000.1', 'NZ_KQ236972.1', 'NZ_KQ236971.1', 'NZ_KQ236970.1', 'NZ_KQ236969.1', 'NZ_KQ236968.1', 'NZ_KQ236967.1', 'NZ_KQ236966.1', 'NZ_KQ236965.1', 'NZ_KQ236964.1', 'NZ_KQ236963.1', 'NZ_KQ236962.1', 'NZ_KQ236961.1', 'NZ_KQ236960.1', 'NZ_KQ236959.1', 'NZ_KQ236958.1', 'NZ_KQ236957.1', 'NZ_KQ236956.1', 'NZ_KQ236955.1', 'KQ236955.1']"
SAMN02463736,"['GG705230', 'GG705258', 'GG705233', 'GG705230', 'GG705227']","['ACPS00000000.1', 'GG705227.1', 'GG705228.1', 'GG705229.1', 'GG705230.1', 'GG705231.1', 'GG705232.1', 'GG705233.1', 'GG705234.1', 'GG705235.1', 'GG705236.1', 'GG705237.1', 'GG705238.1', 'GG705239.1', 'GG705240.1', 'GG705241.1', 'GG705242.1', 'GG705243.1', 'GG705244.1', 'GG705245.1']"
SAMN02463765,"['GL622509', 'GL622505', 'GL622516', 'GL622509', 'GL622505', 'GL622502']","['NZ_GL622537.1', 'NZ_GL622536.1', 'NZ_GL622535.1', 'NZ_GL622534.1', 'NZ_GL622533.1', 'NZ_GL622532.1', 'NZ_GL622531.1', 'NZ_GL622530.1', 'NZ_GL622529.1', 'NZ_GL622528.1', 'NZ_GL622527.1', 'NZ_GL622526.1', 'NZ_GL622525.1', 'NZ_GL622524.1', 'NZ_GL622523.1', 'NZ_GL622522.1', 'NZ_GL622521.1', 'NZ_GL622520.1', 'NZ_GL622519.1', 'NZ_GL622518.1']"
SAMN02463694,"['JH114362', 'JH114362', 'JH114362', 'JH114366']","['ACDR02000073.1', 'ACDR00000000.2', 'JH114352.1', 'JH114353.1', 'JH114354.1', 'JH114355.1', 'JH114356.1', 'JH114357.1', 'JH114358.1', 'JH114359.1', 'JH114360.1', 'JH114361.1', 'JH114362.1', 'JH114363.1', 'JH114364.1', 'JH114365.1', 'JH114366.1', 'JH114367.1', 'JH114368.1', 'JH114369.1']"
SAMN02463695,"['KQ235761', 'KQ235757', 'KQ235761', 'KQ235757']","['KQ235757.1', 'KQ235758.1', 'KQ235759.1', 'KQ235760.1', 'KQ235761.1', 'KQ235762.1', 'KQ235763.1', 'KQ235764.1', 'KQ235765.1', 'KQ235766.1', 'KQ235767.1', 'KQ235768.1', 'KQ235769.1', 'KQ235770.1', 'KQ235771.1', 'KQ235772.1', 'KQ235773.1', 'ACAA00000000.2', 'ACAA02000001.1', 'ACAA02000010.1']"
SAMN02463678,"['DS990274', 'DS990260', 'DS990260', 'DS990262', 'DS990266', 'DS990267', 'DS990266', 'DS990266']","['ABQR00000000.1', 'DS990260.1', 'DS990261.1', 'DS990262.1', 'DS990263.1', 'DS990264.1', 'DS990265.1', 'DS990266.1', 'DS990267.1', 'DS990268.1', 'DS990269.1', 'DS990270.1', 'DS990271.1', 'DS990272.1', 'DS990273.1', 'DS990274.1', 'DS990275.1', 'DS990276.1', 'DS990277.1', 'DS990278.1']"
SAMN02463689,"['EQ973223', 'EQ973223']","['NZ_EQ973245.1', 'NZ_EQ973244.1', 'NZ_EQ973243.1', 'NZ_EQ973242.1', 'NZ_EQ973241.1', 'NZ_EQ973240.1', 'NZ_EQ973239.1', 'NZ_EQ973238.1', 'NZ_EQ973237.1', 'NZ_EQ973236.1', 'NZ_EQ973235.1', 'NZ_EQ973234.1', 'NZ_EQ973233.1', 'NZ_EQ973232.1', 'NZ_EQ973231.1', 'NZ_EQ973230.1', 'NZ_EQ973229.1', 'NZ_EQ973228.1', 'NZ_EQ973227.1', 'NZ_EQ973226.1']"
SAMN05192547,['FNIU01000061'],['Supplied+id+parameter+is+empty.']
SAMN03097721,['FPKT01000019'],"['NZ_FPKT00000000.1', 'NZ_FPKT01000025.1', 'NZ_FPKT01000024.1', 'NZ_FPKT01000023.1', 'NZ_FPKT01000022.1', 'NZ_FPKT01000021.1', 'NZ_FPKT01000019.1', 'NZ_FPKT01000018.1', 'NZ_FPKT01000017.1', 'NZ_FPKT01000016.1', 'NZ_FPKT01000015.1', 'NZ_FPKT01000014.1', 'NZ_FPKT01000013.1', 'NZ_FPKT01000012.1', 'NZ_FPKT01000011.1', 'NZ_FPKT01000010.1', 'NZ_FPKT01000009.1', 'NZ_FPKT01000008.1', 'NZ_FPKT01000007.1', 'NZ_FPKT01000006.1']"
SAMN03198126,['JUOB01000118'],"['JUOB00000000.1', 'JUOB01000001.1', 'JUOB01000002.1', 'JUOB01000003.1', 'JUOB01000004.1', 'JUOB01000005.1', 'JUOB01000006.1', 'JUOB01000007.1', 'JUOB01000008.1', 'JUOB01000009.1', 'JUOB01000010.1', 'JUOB01000011.1', 'JUOB01000012.1', 'JUOB01000013.1', 'JUOB01000014.1', 'JUOB01000015.1', 'JUOB01000016.1', 'JUOB01000017.1', 'JUOB01000018.1', 'JUOB01000019.1']"
SAMN05216313,['FOIM01000088'],"['NZ_FOIM00000000.1', 'NZ_FOIM01000097.1', 'NZ_FOIM01000096.1', 'NZ_FOIM01000095.1', 'NZ_FOIM01000094.1', 'NZ_FOIM01000093.1', 'NZ_FOIM01000092.1', 'NZ_FOIM01000091.1', 'NZ_FOIM01000090.1', 'NZ_FOIM01000089.1', 'NZ_FOIM01000088.1', 'NZ_FOIM01000087.1', 'NZ_FOIM01000086.1', 'NZ_FOIM01000085.1', 'NZ_FOIM01000084.1', 'NZ_FOIM01000083.1', 'NZ_FOIM01000082.1', 'NZ_FOIM01000081.1', 'NZ_FOIM01000080.1', 'NZ_FOIM01000079.1']"
SAMN03835466,['CP012015'],"['NZ_CP012016.1', 'NZ_CP012015.1', 'CP012015.1', 'CP012016.1']"
SAMEA3545314,"['CZAG01000001', 'CZAG01000005', 'CZAG01000001', 'CZAG01000005']","['NZ_CZAG00000000.1', 'NZ_CZAG01000020.1', 'NZ_CZAG01000019.1', 'NZ_CZAG01000018.1', 'NZ_CZAG01000017.1', 'NZ_CZAG01000016.1', 'NZ_CZAG01000015.1', 'NZ_CZAG01000014.1', 'NZ_CZAG01000013.1', 'NZ_CZAG01000012.1', 'NZ_CZAG01000011.1', 'NZ_CZAG01000010.1', 'NZ_CZAG01000009.1', 'NZ_CZAG01000008.1', 'NZ_CZAG01000007.1', 'NZ_CZAG01000006.1', 'NZ_CZAG01000005.1', 'NZ_CZAG01000004.1', 'NZ_CZAG01000003.1', 'NZ_CZAG01000002.1']"
SAMN05444283,"['FNOD01000023', 'FNOD01000008', 'FNOD01000023', 'FNOD01000025', 'FNOD01000009']","['NZ_FNOD00000000.1', 'NZ_FNOD01000071.1', 'NZ_FNOD01000070.1', 'NZ_FNOD01000069.1', 'NZ_FNOD01000068.1', 'NZ_FNOD01000067.1', 'NZ_FNOD01000066.1', 'NZ_FNOD01000065.1', 'NZ_FNOD01000064.1', 'NZ_FNOD01000063.1', 'NZ_FNOD01000062.1', 'NZ_FNOD01000061.1', 'NZ_FNOD01000060.1', 'NZ_FNOD01000059.1', 'NZ_FNOD01000058.1', 'NZ_FNOD01000057.1', 'NZ_FNOD01000056.1', 'NZ_FNOD01000055.1', 'NZ_FNOD01000054.1', 'NZ_FNOD01000053.1']"
SAMN04108634,['KQ959838'],"['NZ_LSDA00000000.1', 'NZ_KQ959853.1', 'NZ_KQ959852.1', 'NZ_KQ959851.1', 'NZ_KQ959850.1', 'NZ_KQ959849.1', 'NZ_KQ959848.1', 'NZ_KQ959847.1', 'NZ_KQ959846.1', 'NZ_KQ959845.1', 'NZ_KQ959844.1', 'NZ_KQ959843.1', 'NZ_KQ959842.1', 'NZ_KQ959841.1', 'NZ_KQ959840.1', 'NZ_KQ959839.1', 'NZ_KQ959838.1', 'NZ_KQ959837.1', 'NZ_KQ959836.1', 'NZ_KQ959835.1']"
SAMN02471667,['AOHT01000037'],"['NZ_AOHT00000000.1', 'NZ_AOHT01000056.1', 'NZ_AOHT01000055.1', 'NZ_AOHT01000054.1', 'NZ_AOHT01000053.1', 'NZ_AOHT01000052.1', 'NZ_AOHT01000051.1', 'NZ_AOHT01000050.1', 'NZ_AOHT01000049.1', 'NZ_AOHT01000048.1', 'NZ_AOHT01000047.1', 'NZ_AOHT01000046.1', 'NZ_AOHT01000045.1', 'NZ_AOHT01000044.1', 'NZ_AOHT01000043.1', 'NZ_AOHT01000042.1', 'NZ_AOHT01000041.1', 'NZ_AOHT01000040.1', 'NZ_AOHT01000039.1', 'NZ_AOHT01000038.1']"
